alcaldia,Pob2019_H,Pob2019_M,Pob_Tot2019,CTDomestico,CTNODomestico,CTMixto,consumo_total,CTpPobtot,Categoriaconsumo
ALVARO OBREGON,360335.0,395285.0,755620.0,6590161.410000009,2042079.1999999962,521678.44999999984,9153919.310000014,12.114448148540289,MEDIO
AZCAPOTZALCO,192944.0,216916.0,409860.0,6153754.56003999,1261132.5399999958,914820.5900000005,8329707.24000002,20.323298784951007,ALTO
BENITO JUAREZ,198095.0,232259.0,430354.0,9894930.861000014,2397199.5610000025,1064420.2300000016,13356550.960000012,31.036195690059838,MUY ALTO
COYOACAN,293039.0,330644.0,623683.0,5128303.190000005,1509623.5099999981,347473.2999999997,6985399.71,11.200240683167571,MEDIO
CUAJIMALPA,95608.0,103772.0,199380.0,2064264.120000002,535142.4599999998,134764.37999999992,2734170.8799999985,13.713365834085659,ALTO
CUAUHTEMOC,259989.0,287714.0,547703.0,10346113.158999976,4460563.19100001,2131972.5699999994,16938649.32999996,30.926705404206224,MUY ALTO
GUSTAVO A. MADERO,567165.0,613564.0,1180729.0,9196449.150000004,1666651.2600000012,1530634.7799999993,12393735.159999935,10.496680576152475,MEDIO
IZTACALCO,186979.0,207469.0,394448.0,4663497.740999998,773974.5199999985,685279.7000000004,6122752.010999987,15.522329967448147,ALTO
IZTAPALAPA,885252.0,938216.0,1823468.0,,,,,,
MAGDALENA CONTRERAS,117979.0,127396.0,245375.0,844966.4799999999,318183.55999999976,64689.88,1227839.999999999,5.0039327559857325,BAJO
MIGUEL HIDALGO,175144.0,203564.0,378708.0,8640462.958999997,3727837.1700000004,1132949.0799999987,13501248.560000004,35.65081424210739,
MILPA ALTA,67969.0,71066.0,139035.0,72507.08999999998,32954.479999999996,29183.660000000014,134645.23000000004,0.96842687093178,MUY BAJO
TLAHUAC,177029.0,190377.0,367406.0,601802.3499999997,101149.64000000007,87501.80000000003,790453.7699999987,2.1514449138010776,MUY BAJO
TLALPAN,326554.0,355174.0,681728.0,2877268.739999998,1388944.4000000001,172576.12999999995,4438789.26000001,6.511085447568546,MEDIO
VENUSTIANO CARRANZA,204702.0,229588.0,434290.0,5007007.890999992,841909.0800000005,868713.4999999998,6717630.511000001,15.468075504846993,ALTO
XOCHIMILCO,205763.0,213663.0,419426.0,1283415.0100000007,376486.51000000053,231981.75000000026,1891883.4099999988,4.510648862969865,BAJO
IZP,,,,5263019.96999999,1208312.8899999992,820973.4199999975,7292306.399999985,,
